filename,category
aiga_arriving.png,gate
aiga_departing.png,gate
aiga_baggage.png,baggage
aiga_ticket.png,check_in
aiga_customs.png,security
aiga_immigration.png,security
aiga_info.png,information
aiga_hotelinfo.png,information
aiga_taxi.png,taxi
aiga_ground.png,transport
aiga_rail.png,transport
aiga_bus.png,transport
aiga_restaurant.png,restaurant
aiga_coffee.png,restaurant
aiga_lostfound.png,lost_and_found
aiga_toilets_men.png,restroom
toilets_unisex.png,restroom
toilet_women.png,restroom
aiga_firstaid.png,first_aid
aiga_currency.png,currency_exchange
aiga_carrental.png,car_rental
aiga_parking.png,parking
photo_wayfinding.jpg,information
photo_wayfinding2.jpg,information
photo_security.jpg,security
photo_elevator.jpg,information
photo_dublin.jpg,information
photo_yogyakarta.jpg,information
